,C 1 Comdty,CL1 Comdty,GC1 Comdty,HG1 Comdty,NG1 Comdty,S 1 Comdty,SI1 Comdty
2023-11-10,-11894.0768527149,9306.0392351607,-0.0,-23160.04791679035,-0.0,3281.4975618112503,-0.0
2023-11-13,60123.7873139148,-7353.1582853859,0.0,3895.78347001845,0.0,40502.87323477335,0.0
2023-11-14,6478.3333674099,-0.0,0.0,0.0,-0.0,8918.029784583448,0.0
2023-11-15,-24836.4745293096,10409.41812183705,-0.0,0.0,0.0,-5843.520773973,0.0
2023-11-16,20503.158521393703,24445.525146206397,0.0,-0.0,-0.0,-30427.147623136498,0.0
2023-11-17,-34509.5037130869,-19426.934753226,-0.0,0.0,-0.0,-24571.835589108152,0.0
2023-11-20,1078.00702182045,1558.75259438775,-0.0,0.0,-0.0,33159.21370096545,-0.0
2023-11-21,0.0,0.0,0.0,0.0,-0.0,12285.4450410603,0.0
2023-11-22,-0.0,-0.0,-0.0,-0.0,0.0,-25493.9333993658,-0.0
2023-11-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-24,-0.0,-0.0,0.0,0.0,-0.0,-31617.57243720015,0.0
2023-11-27,-38318.810430993304,-0.0,0.0,-0.0,0.0,-1227.7880985159002,0.0
2023-11-28,-8387.94176615205,0.0,0.0,0.0,-0.0,20579.4402139458,0.0
2023-11-29,10795.147432951499,0.0,0.0,-0.0,0.0,614.9183484942,0.0
2023-11-30,33611.1537697749,-0.0,-0.0,0.0,0.0,-5230.8913403106,0.0
2023-12-01,9608.104945000801,-0.0,0.0,0.0,0.0,-21857.85233241345,0.0
2023-12-04,-10691.0685435339,10001.2293399015,-0.0,-36882.1225479924,19585.317948666747,-3079.1616929109,-0.0
2023-12-05,-16824.94211483235,4677.993323325901,-0.0,-22096.2777370137,-9220.74746081265,-0.0,-0.0
2023-12-06,21009.1227983253,19081.774506473997,0.0,-21215.8979511957,81172.6240327893,-0.0,-0.0
2023-12-07,-12605.79643282755,259.6226269550498,0.0,27002.74330545885,-9211.31374726845,0.0,-0.0
2023-12-08,8400.744334838251,-12262.614909216749,-0.0,14139.0430110531,2301.97350652695,-0.0,-0.0
2023-12-11,-3358.7485155396002,518.81318102295,-0.0,-21412.9157613732,108909.84478433356,30017.45331728325,-0.0
2023-12-12,0.0,-0.0,-0.0,2999.42139759615,115107.5194328088,-12741.5299937841,-0.0
2023-12-13,-0.0,0.0,0.0,0.0,-23027.1051539781,-20027.2758447726,-0.0
2023-12-14,-0.0,0.0,0.0,44980.950450348,-54663.4688788962,6975.89620342425,0.0
2023-12-15,0.0,-0.0,-0.0,-856.34104503915,-94893.1717831479,-606.2888839725,-0.0
2023-12-18,23722.84931669685,0.0,0.0,3421.98416091105,-11490.8527037736,7369.23589047045,-0.0
2023-12-19,18339.99317497935,0.0,0.0,-9842.8739372613,6322.968613179,-14139.488955267001,0.0
2023-12-20,12959.4885254694,0.0,-0.0,-1713.6039135096,25893.885408513303,-5459.536882417049,0.0
2023-12-21,-11882.422100531701,0.0,0.0,-2463.90508525275,-71944.96342877056,-11326.239539165252,0.0
2023-12-22,-2161.04900342715,-0.0,0.0,2678.9121699435,-21877.430276504252,3641.60258816895,-0.0
2023-12-25,0.0,0.0,0.0,-0.0,24939.64317326445,2123.56113853185,0.0
2023-12-26,-31321.571894893797,0.0,0.0,642.6590815305,-23018.8506546276,15470.0747155503,-0.0
2023-12-27,16206.830102673,-0.0,0.0,-12322.20721913235,26481.5099511561,1820.68474937535,0.0
2023-12-28,9727.708293757802,-0.0,-0.0,7503.25863441915,49512.63940341075,-10321.0440158898,-0.0
2023-12-29,12966.12803287935,-0.0,-0.0,7286.5478224944,-17736.35276009835,-16993.927861331398,-0.0
2024-01-01,-0.0,2191.89753040275,0.0,-5572.0659819078,0.0,0.0,0.0
2024-01-02,32432.748789149548,8191.7840518047,0.0,-0.0,22285.5350784948,-29755.36369137375,-0.0
2024-01-03,-6479.24629967865,-14947.66976510385,-0.0,-0.0,41223.0424620861,4245.98013891765,-0.0
2024-01-04,-5400.4093394319,3286.5415111817997,0.0,-0.0,63083.3733343908,-11527.01758367235,0.0
2024-01-05,24853.0179686058,-10444.2818449275,-0.0,-0.0,29699.5997764656,-13656.53415682215,0.0
2024-01-08,19077.5364005187,-15720.623726877451,-0.0,535.4532113346,35863.58755292355,17286.98341636215,-0.0
2024-01-09,-14295.1653009414,9482.31405523935,-0.0,-11043.47625267105,86670.40523057955,-3643.7003929264497,-0.0
